gd,en
thoir cliù (dha),give praise (to)
àl,brood or stone (Bib)
Molaidh gach àl do ghnìomharan don àl a thig nan dèidh; Is d'oibrean cumhachdach ro‑mhòr sìor chuirear leo an cèill,Each stone will praise your works do the stones (generations?) that come after them; and your exceedingly great and powerful works continually give meaning to them (?)
Molaich,praise
gnìomh,action
nan dèidh,after them
oibrean,works
cumhachdach,powerful
ro-mhòr,too great
ciall,meaning
cuir an cèill,give meaning
beachd,opinion or judgement
urram,respect or honour
mì-urram,disrespect
iongantach,wonderful
gu lèir,completely
labhair,speak or utter
Dia nam feart,all-powerful God
feart,(fir gin: fearta) feature or characteristic
feart,(boir gin: feairt) heed or attention
coimhead le feart,pay attention to
