en,gd,class,clas
saponification,siabannachadh,reaction,iom-obrachadh
mass spectrometry,,,
chromatography,,,
liquid chromatography,,,
gas chromatography,,,
gel permeation chromatography,,,
gel,,,
sol,,,
liquid,,,
gas,,,
xerogel,,,
aerogel,,,
metal-organic framework,frèam-obrach meatailt-organach,substance,susbaint
slit,,,
density functional,,,
density,,,
solubility,,,
molarity,,,
molality,,,
normality,,,
analysis,,,
vial,,,
flask,,,
peak,,,
statistical,,,
cap,,,
analyte,,,
molecule,,,
ion,,,
polyatomic ion,,,
bond,,,
ionic bond,,,
covalent bond,,,
polar,,,
non-polar,,,
point group,,,
symmetry,,,
crystal,,,
